hospital_name,is_public,x_coord,y_coord
Dasmari̱as City Medical Center,0,120.9815897,14.3534213
Binakayan Hospital and Medical Center,0,120.9260881,14.4519604
Prime Global Care Medical Center Inc.,0,120.974338,14.3979589
Kawit Maternity and General Hospital,0,120.9059599,14.4458546
Asia Medic Family Hospital & Medical Center,0,120.9565591,14.2987064
Pamplona Hospital and Medical Center,0,120.9683546,14.4636249
Golden Acres Hospital Center,0,120.9976687,14.4190365
A. Zarate General Hospital,0,120.9804432,14.468559
Alabang Medical Center,0,121.02447920000002,14.42776525
Las Pi̱as General Hospital & Satellite Trauma Center,1,120.97380622569987,14.47163722611374
Las Pi̱as Doctors Hospital,0,120.99383445117326,14.455777227750742
Our Lady of the Pillar Medical Center,0,120.93924307452092,14.41906092185359
Metro South Medical Center,0,120.97968127096986,14.373821209099555
Medical Center Muntinlupa,0,121.04520112499793,14.39495526260654
Las Pi̱as City Medical Center,1,121.00349237794214,14.42970093329246
University of Perpetual Help Dalta Medical Center,0,120.9856490097022,14.4483032149171
St. Paul Hospital,0,121.70744302993009,17.614123783684576
Crisostomo General Hospital,0,120.9332935669165,14.449223616195756
Kawit Kalayaan Hospital,0,120.89854200610932,14.416973137779207
Pope John Paul II Hospital and Medical Center,0,120.9963686255777,14.443311010068868
Bacoor Doctors Medical Center,0,120.96766720667799,14.419835495685728
Imus Family Hospital,0,120.94631997278353,14.432532856570582
Southern Tagalog Regional Hospital,1,120.94712914614739,14.441331000081279
Emilio Aguinaldo College Medical Center-Cavite,0,120.93970048159093,14.348568469246072
Christ the King Medical Center,0,120.96998363053702,14.459032028851926
Beato-Cauilan Hospital,0,121.04936487108928,14.370969379182691
Ospital ng Imus,1,120.91980861838233,14.393424559880676
St. Dominic College of Asia,0,120.96042041281193,14.458905314526824
Medical Center Imus,0,120.94653407478619,14.426147493823176
De La Salle Medical and Health Sciences Institute,0,120.94474750841748,14.330166523991645
Southeast Asian Medical Center,0,120.97682373086288,14.405848647564351
Pagamutan ng Dasmari̱as & St. Paul Hospital,1,120.96211204714467,14.323011820976735
Asian Hospital and Medical Center & Ospital ng Muntinlupa,1,121.04388131369925,14.413771086188625
Molino Doctors Hospital & St. Michael Medical Center,0,120.976443625465,14.410116710768204
